관측소명,시간,수위,기온(°C),풍속(m/s),강수량(mm),예측수위
기아대교,2020/05/15 0:00,10.24,21.8,3,0,10.24
기아대교,2020/05/15 1:00,10.24,21.1,0.8,0,10.24
기아대교,2020/05/15 2:00,10.24,21.7,1.2,0,10.23
기아대교,2020/05/15 3:00,10.23,21.8,2.3,0,10.2
기아대교,2020/05/15 4:00,10.2,21.7,0.8,0,10.2
기아대교,2020/05/15 5:00,10.2,20.8,2.2,0,10.18
기아대교,2020/05/15 6:00,10.18,18.5,1.8,0,10.17
기아대교,2020/05/15 7:00,10.17,17.1,3.3,0.5,10.17
기아대교,2020/05/15 8:00,10.17,16.2,2.6,2,10.16
기아대교,2020/05/15 9:00,10.16,15.3,2.6,1.5,10.21
기아대교,2020/05/15 10:00,10.21,15.1,2.4,2.5,10.3
기아대교,2020/05/15 11:00,10.3,14.7,4,1.5,10.41
기아대교,2020/05/15 12:00,10.41,15.4,4.4,0.5,10.42
기아대교,2020/05/15 13:00,10.42,16.1,3.6,0,10.36
기아대교,2020/05/15 14:00,10.36,16,3.2,0,10.34
기아대교,2020/05/15 15:00,10.34,15.8,2.3,0.5,10.3
기아대교,2020/05/15 16:00,10.3,15.7,3,0,10.28
기아대교,2020/05/15 17:00,10.28,16,3.3,0,10.27
기아대교,2020/05/15 18:00,10.27,15.8,3.2,0,10.25
기아대교,2020/05/15 19:00,10.25,15.9,2.6,0.5,10.24
기아대교,2020/05/15 20:00,10.24,15.9,2.1,0,10.23
기아대교,2020/05/15 21:00,10.23,15.8,2.7,0,10.23
기아대교,2020/05/15 22:00,10.23,15.6,2.5,0,10.23
기아대교,2020/05/15 23:00,10.23,15.9,1.4,0,10.23
기아대교,2020/05/16 0:00,10.23,16,2,0,10.23
기아대교,2020/05/16 1:00,10.23,16,0.9,0,10.23
기아대교,2020/05/16 2:00,10.23,16.1,0.3,0,10.22
기아대교,2020/05/16 3:00,10.22,16.1,1.2,0,10.22
기아대교,2020/05/16 4:00,10.22,16.1,1.2,0,10.22
기아대교,2020/05/16 5:00,10.22,16,1.4,0,10.2
기아대교,2020/05/16 6:00,10.2,15.5,1.3,0,10.19
기아대교,2020/05/16 7:00,10.19,15.5,0.6,0.5,10.19
기아대교,2020/05/16 8:00,10.19,15.4,0.5,0.5,10.19
기아대교,2020/05/16 9:00,10.19,15.7,1.1,0,10.19
기아대교,2020/05/16 10:00,10.19,17,1.3,0,10.22
기아대교,2020/05/16 11:00,10.22,17.3,1.4,0,10.24
기아대교,2020/05/16 12:00,10.24,17.4,1.1,0,10.24
기아대교,2020/05/16 13:00,10.24,18.5,2.4,0,10.24
기아대교,2020/05/16 14:00,10.24,19,2,0,10.24
기아대교,2020/05/16 15:00,10.24,18.6,1.5,0,10.24
기아대교,2020/05/16 16:00,10.24,18.9,1.5,0,10.24
기아대교,2020/05/16 17:00,10.24,18.7,2,0,10.24
기아대교,2020/05/16 18:00,10.24,18.1,1.7,0,10.24
기아대교,2020/05/16 19:00,10.24,17.7,1.3,0,10.24
기아대교,2020/05/16 20:00,10.24,17.1,1.2,0,10.24
기아대교,2020/05/16 21:00,10.24,16.2,1.2,0,10.24
기아대교,2020/05/16 22:00,10.24,16.1,1.7,0,10.24
기아대교,2020/05/16 23:00,10.24,15.9,1,0,10.26
기아대교,2020/05/17 0:00,10.26,16,1.1,0,10.26
기아대교,2020/05/17 1:00,10.26,16,1.4,0,10.23
기아대교,2020/05/17 2:00,10.23,15.7,1.4,0,10.21
기아대교,2020/05/17 3:00,10.21,15.2,1.2,0,10.21
기아대교,2020/05/17 4:00,10.21,15.1,1.1,0,10.19
기아대교,2020/05/17 5:00,10.19,15,0.7,0,10.17
기아대교,2020/05/17 6:00,10.17,14.8,0.6,0,10.17
기아대교,2020/05/17 7:00,10.17,15.7,0.7,0,10.17
기아대교,2020/05/17 8:00,10.17,17.7,0.9,0,10.16
기아대교,2020/05/17 9:00,10.16,18.1,2.1,0,10.16
기아대교,2020/05/17 10:00,10.16,17.8,1.3,0,10.16
기아대교,2020/05/17 11:00,10.16,18.7,0.8,0,10.2
기아대교,2020/05/17 12:00,10.2,19.3,1.3,0,10.22
기아대교,2020/05/17 13:00,10.22,21.1,1.4,0,10.23
기아대교,2020/05/17 14:00,10.23,22.1,1.5,0,10.22
기아대교,2020/05/17 15:00,10.22,23.8,0.9,0,10.23
기아대교,2020/05/17 16:00,10.23,24.1,1.7,0,10.23
기아대교,2020/05/17 17:00,10.23,24.4,1.2,0,10.23
기아대교,2020/05/17 18:00,10.23,23.9,2,0,10.22
기아대교,2020/05/17 19:00,10.22,22.3,2.2,0,10.23
기아대교,2020/05/17 20:00,10.23,21.3,2.2,0,10.23
기아대교,2020/05/17 21:00,10.23,20.2,2.1,0,10.25
기아대교,2020/05/17 22:00,10.25,20,1.6,0,10.26
기아대교,2020/05/17 23:00,10.26,19.9,0.3,0,10.27
기아대교,2020/05/18 0:00,10.27,20,0.9,0,10.27
기아대교,2020/05/18 1:00,10.27,20,0.9,0,10.25
기아대교,2020/05/18 2:00,10.25,19.1,0.9,0,10.22
기아대교,2020/05/18 3:00,10.22,19,1,0,10.21
기아대교,2020/05/18 4:00,10.21,18.8,0.7,0,10.19
기아대교,2020/05/18 5:00,10.19,18.7,0.2,0,10.17
기아대교,2020/05/18 6:00,10.17,19.1,0.4,0,10.16
기아대교,2020/05/18 7:00,10.16,18.6,0.9,0,10.17
기아대교,2020/05/18 8:00,10.17,20.2,1.6,0,10.17
기아대교,2020/05/18 9:00,10.17,20.7,1.7,0,10.18
기아대교,2020/05/18 10:00,10.18,22.2,0.8,0,10.22
기아대교,2020/05/18 11:00,10.22,23.7,3.5,0,10.24
기아대교,2020/05/18 12:00,10.24,24.9,2.6,0,10.24
기아대교,2020/05/18 13:00,10.24,26.3,3.6,0,10.24
기아대교,2020/05/18 14:00,10.24,26.1,4.9,0,10.24
기아대교,2020/05/18 15:00,10.24,25.8,3.5,0,10.24
기아대교,2020/05/18 16:00,10.24,18.4,2.6,3,10.31
기아대교,2020/05/18 17:00,10.31,18.4,2.6,10.5,10.6
기아대교,2020/05/18 18:00,10.6,18.6,1.6,1.5,10.95
기아대교,2020/05/18 19:00,10.95,16.6,2.2,3.5,10.78
기아대교,2020/05/18 20:00,10.78,16.4,2.3,1,10.71
기아대교,2020/05/18 21:00,10.71,14.1,3.7,0,10.67
기아대교,2020/05/18 22:00,10.67,13.1,3.4,0,10.63
기아대교,2020/05/18 23:00,10.63,13.5,1.9,0,10.53
기아대교,2020/05/19 0:00,10.53,13.7,2.8,0,10.43
기아대교,2020/05/19 1:00,10.43,13.7,2.2,0,10.35
기아대교,2020/05/19 2:00,10.35,13.7,3.4,0,10.3
기아대교,2020/05/19 3:00,10.3,13.5,1.5,0,10.28
기아대교,2020/05/19 4:00,10.28,13.3,2.7,0.5,10.26
기아대교,2020/05/19 5:00,10.26,12.6,2.3,0,10.24
기아대교,2020/05/19 6:00,10.24,12.8,2.9,0,10.23
기아대교,2020/05/19 7:00,10.23,12.1,1.9,1,10.22
기아대교,2020/05/19 8:00,10.22,11.7,1.3,3.5,10.24
기아대교,2020/05/19 9:00,10.24,12.1,2.5,1,10.38
기아대교,2020/05/19 10:00,10.38,12.3,2.8,1.5,10.47
기아대교,2020/05/19 11:00,10.47,12.7,2.6,0.5,10.47
기아대교,2020/05/19 12:00,10.47,13.3,3,2.5,10.49
기아대교,2020/05/19 13:00,10.49,15.4,2.9,0,10.45
기아대교,2020/05/19 14:00,10.45,15.8,3.7,0,10.43
기아대교,2020/05/19 15:00,10.43,16.4,3.8,0,10.38
기아대교,2020/05/19 16:00,10.38,17.1,2.9,0,10.34
기아대교,2020/05/19 17:00,10.34,17,3.5,0,10.32
기아대교,2020/05/19 18:00,10.32,16,2.8,0,10.3
기아대교,2020/05/19 19:00,10.3,15.5,2.3,0,10.29
기아대교,2020/05/19 20:00,10.29,14.6,2.8,0,10.28
기아대교,2020/05/19 21:00,10.28,13.8,2.7,0,10.27
기아대교,2020/05/19 22:00,10.27,13.2,2.8,0,10.27
기아대교,2020/05/19 23:00,10.27,12.9,1.5,0,10.27
기아대교,2020/05/20 0:00,10.27,12.3,2.2,0,10.27
기아대교,2020/05/20 1:00,10.27,12,0.9,0,10.27
기아대교,2020/05/20 2:00,10.27,11.8,1.6,0,10.24
기아대교,2020/05/20 3:00,10.24,11.8,1.6,0,10.22
기아대교,2020/05/20 4:00,10.22,11.4,2,0,10.21
기아대교,2020/05/20 5:00,10.21,11.6,1.6,0,10.2
기아대교,2020/05/20 6:00,10.2,11.6,1.6,0,10.2
기아대교,2020/05/20 7:00,10.2,11.9,1.7,0,10.2
기아대교,2020/05/20 8:00,10.2,12.5,0.8,0,10.2
기아대교,2020/05/20 9:00,10.2,13.5,1.2,0,10.21
기아대교,2020/05/20 10:00,10.21,15.3,1.9,0,10.24
기아대교,2020/05/20 11:00,10.24,17.5,1.3,0,10.26
기아대교,2020/05/20 12:00,10.26,17.8,1.7,0,10.25
기아대교,2020/05/20 13:00,10.25,19.5,2,0,10.26
기아대교,2020/05/20 14:00,10.26,18.4,2.3,0,10.27
기아대교,2020/05/20 15:00,10.27,19.8,1.6,0,10.27
기아대교,2020/05/20 16:00,10.27,20,1,0,10.27
기아대교,2020/05/20 17:00,10.27,17.8,2.8,0,10.27
기아대교,2020/05/20 18:00,10.27,17.5,1.6,0,10.25
