관측소명,시간,수위,기온(°C),풍속(m/s),강수량(mm),습도(%),예측수위
도림교,2020/05/15 0:00,6.07,20,3.3,0,36,6.07
도림교,2020/05/15 1:00,6.07,20.5,2.4,0,39,6.07
도림교,2020/05/15 2:00,6.07,20.4,1.7,0,42,6.07
도림교,2020/05/15 3:00,6.07,19.7,0.5,0,47,6.07
도림교,2020/05/15 4:00,6.07,20,1.4,0,36,6.07
도림교,2020/05/15 5:00,6.07,20.3,3,0,42,6.08
도림교,2020/05/15 6:00,6.08,18.9,2.2,0,64,6.09
도림교,2020/05/15 7:00,6.09,17.4,2.2,0.5,79,6.08
도림교,2020/05/15 8:00,6.08,16.3,1.9,2,86,6.09
도림교,2020/05/15 9:00,6.09,15.9,3.9,1,91,6.12
도림교,2020/05/15 10:00,6.12,14.9,5,2,93,6.1
도림교,2020/05/15 11:00,6.1,14.8,3.9,1,95,6.07
도림교,2020/05/15 12:00,6.07,15.5,6.2,0.5,95,6.07
도림교,2020/05/15 13:00,6.07,16.3,5.7,0,91,6.07
도림교,2020/05/15 14:00,6.07,16.1,5.8,0.5,93,6.08
도림교,2020/05/15 15:00,6.08,16,4.5,0,95,6.09
도림교,2020/05/15 16:00,6.09,15.9,4.8,0,95,6.08
도림교,2020/05/15 17:00,6.08,16.2,4.5,0,95,6.08
도림교,2020/05/15 18:00,6.08,15.9,5.5,0,95,6.09
도림교,2020/05/15 19:00,6.09,15.7,3.5,0.5,95,6.09
도림교,2020/05/15 20:00,6.09,15.8,3.2,0,95,6.09
도림교,2020/05/15 21:00,6.09,15.8,3.5,0,95,6.09
도림교,2020/05/15 22:00,6.09,15.8,2.9,0.5,95,6.09
도림교,2020/05/15 23:00,6.09,15.8,2.6,0,95,6.09
도림교,2020/05/16 0:00,6.09,15.9,2.6,0,95,6.09
도림교,2020/05/16 1:00,6.09,16,0.5,0,95,6.08
도림교,2020/05/16 2:00,6.08,16,0.2,0.5,95,6.08
도림교,2020/05/16 3:00,6.08,16,1.2,0,95,6.09
도림교,2020/05/16 4:00,6.09,15.7,1.7,0,95,6.09
도림교,2020/05/16 5:00,6.09,15.5,1.9,0.5,95,6.08
도림교,2020/05/16 6:00,6.08,15.4,1.7,0,95,6.08
도림교,2020/05/16 7:00,6.08,15.2,1.1,0.5,95,6.08
도림교,2020/05/16 8:00,6.08,15.2,1.6,0,95,6.07
도림교,2020/05/16 9:00,6.07,15.6,1.3,0,95,6.06
도림교,2020/05/16 10:00,6.06,16.5,1.2,0,95,6.06
도림교,2020/05/16 11:00,6.06,16.9,1.9,0,95,6.06
도림교,2020/05/16 12:00,6.06,17.2,1.7,0,95,6.04
도림교,2020/05/16 13:00,6.04,17.9,2.4,0,90,6.04
도림교,2020/05/16 14:00,6.04,18.6,2.5,0,86,6.05
도림교,2020/05/16 15:00,6.05,19.2,1.6,0,83,6.04
도림교,2020/05/16 16:00,6.04,19.1,1.6,0,82,6.04
도림교,2020/05/16 17:00,6.04,19.1,2.6,0,84,6.05
도림교,2020/05/16 18:00,6.05,18.6,2.1,0,85,6.06
도림교,2020/05/16 19:00,6.06,17.8,2.5,0,86,6.08
도림교,2020/05/16 20:00,6.08,17,1.2,0,90,6.09
도림교,2020/05/16 21:00,6.09,16.3,0.7,0,93,6.08
도림교,2020/05/16 22:00,6.08,15.8,0.6,0,95,6.09
도림교,2020/05/16 23:00,6.09,15.8,0.5,0,95,6.08
도림교,2020/05/17 0:00,6.08,15.9,0.8,0,95,6.09
도림교,2020/05/17 1:00,6.09,15.8,1.1,0,95,6.08
도림교,2020/05/17 2:00,6.08,15.7,2,0,95,6.08
도림교,2020/05/17 3:00,6.08,15.5,0.8,0,95,6.08
도림교,2020/05/17 4:00,6.08,14.9,1.2,0,95,6.08
도림교,2020/05/17 5:00,6.08,14.9,1.9,0,95,6.08
도림교,2020/05/17 6:00,6.08,14.6,0.3,0,95,6.06
도림교,2020/05/17 7:00,6.06,14.9,2.1,0,95,6.04
도림교,2020/05/17 8:00,6.04,16.3,2.4,0,95,6.04
도림교,2020/05/17 9:00,6.04,17.4,2.5,0,90,6.04
도림교,2020/05/17 10:00,6.04,17.3,2.8,0,89,6.04
도림교,2020/05/17 11:00,6.04,17.7,1.6,0,88,6.04
도림교,2020/05/17 12:00,6.04,18.8,3.1,0,84,6.04
도림교,2020/05/17 13:00,6.04,20.2,1.3,0,80,6.04
도림교,2020/05/17 14:00,6.04,21.6,1.9,0,74,6.04
도림교,2020/05/17 15:00,6.04,23.3,1.4,0,70,6.04
도림교,2020/05/17 16:00,6.04,24.9,0.8,0,65,6.04
도림교,2020/05/17 17:00,6.04,24.2,2.1,0,69,6.04
도림교,2020/05/17 18:00,6.04,22.4,3.8,0,76,6.06
도림교,2020/05/17 19:00,6.06,21.6,2.7,0,81,6.08
도림교,2020/05/17 20:00,6.08,20.4,1.7,0,85,6.08
도림교,2020/05/17 21:00,6.08,19.6,1.2,0,87,6.09
도림교,2020/05/17 22:00,6.09,19.3,1.6,0,88,6.08
도림교,2020/05/17 23:00,6.08,18.7,1.4,0,90,6.08
도림교,2020/05/18 0:00,6.08,18.3,2.1,0,92,6.09
도림교,2020/05/18 1:00,6.09,18.2,0.6,0,93,6.09
도림교,2020/05/18 2:00,6.09,17.9,0.4,0,95,6.09
도림교,2020/05/18 3:00,6.09,17.5,0.4,0,95,6.09
도림교,2020/05/18 4:00,6.09,17.3,0.6,0,95,6.09
도림교,2020/05/18 5:00,6.09,17.3,0.4,0,95,6.08
도림교,2020/05/18 6:00,6.08,17.7,0.5,0,95,6.07
도림교,2020/05/18 7:00,6.07,18.6,1.3,0,95,6.06
도림교,2020/05/18 8:00,6.06,19.2,1.4,0,95,6.04
도림교,2020/05/18 9:00,6.04,19.8,1.4,0,93,6.04
도림교,2020/05/18 10:00,6.04,22.4,1.8,0,77,6.04
도림교,2020/05/18 11:00,6.04,23.1,1.6,0,74,6.04
도림교,2020/05/18 12:00,6.04,24.5,4.1,0,64,6.04
도림교,2020/05/18 13:00,6.04,25.9,7.3,0,60,6.04
도림교,2020/05/18 14:00,6.04,26,5.3,0,56,6.04
도림교,2020/05/18 15:00,6.04,25.8,3.5,0,56,6.04
도림교,2020/05/18 16:00,6.04,17.9,5.3,17.5,92,6.26
도림교,2020/05/18 17:00,6.26,17.9,2,8.5,95,6.1
도림교,2020/05/18 18:00,6.1,17.8,3,2.5,95,6.19
도림교,2020/05/18 19:00,6.19,16.3,2.2,3,95,6.11
도림교,2020/05/18 20:00,6.11,15.8,4.5,1.5,95,6.08
도림교,2020/05/18 21:00,6.08,14.1,5.7,0,95,6.09
도림교,2020/05/18 22:00,6.09,13.2,2.8,0.5,95,6.08
도림교,2020/05/18 23:00,6.08,13.2,3.2,0,95,6.09
도림교,2020/05/19 0:00,6.09,13,2.1,0,95,6.09
도림교,2020/05/19 1:00,6.09,12.9,3.1,0,95,6.09
도림교,2020/05/19 2:00,6.09,13,2.5,0,95,6.09
도림교,2020/05/19 3:00,6.09,12.9,1.7,0,95,6.09
도림교,2020/05/19 4:00,6.09,12.5,3,0,95,6.07
도림교,2020/05/19 5:00,6.07,11.8,2.4,0,94,6.07
도림교,2020/05/19 6:00,6.07,12.1,2.4,0,91,6.09
도림교,2020/05/19 7:00,6.09,11.8,3.4,2,94,6.09
도림교,2020/05/19 8:00,6.09,11.8,2.8,3,95,6.13
도림교,2020/05/19 9:00,6.13,12.1,3.8,1,95,6.11
도림교,2020/05/19 10:00,6.11,12.4,3.4,3.5,95,6.11
도림교,2020/05/19 11:00,6.11,12.8,4.4,0,95,6.05
도림교,2020/05/19 12:00,6.05,14,3.7,0,95,6.06
도림교,2020/05/19 13:00,6.06,15.8,4,0,84,6.04
도림교,2020/05/19 14:00,6.04,15.6,5.6,0,71,6.04
도림교,2020/05/19 15:00,6.04,16.8,5.9,0,60,6.04
도림교,2020/05/19 16:00,6.04,16.9,5.4,0,53,6.04
도림교,2020/05/19 17:00,6.04,17.1,5.7,0,52,6.04
도림교,2020/05/19 18:00,6.04,15.7,4.2,0,53,6.06
도림교,2020/05/19 19:00,6.06,14.9,3.2,0,54,6.07
