관측소명,시간,수위,기온(°C),풍속(m/s),강수량(mm),습도(%),예측수위
마장2교,2020/05/15 0:00,8.3,20.9,1,0,36,8.3
마장2교,2020/05/15 1:00,8.3,20.4,0.7,0,42,8.3
마장2교,2020/05/15 2:00,8.3,20.6,2.6,0,40,8.3
마장2교,2020/05/15 3:00,8.3,20.4,0.4,0,40,8.3
마장2교,2020/05/15 4:00,8.3,20.8,0.9,0,41,8.3
마장2교,2020/05/15 5:00,8.3,20.2,1.6,0,46,8.3
마장2교,2020/05/15 6:00,8.3,18.9,1,0,58,8.3
마장2교,2020/05/15 7:00,8.3,18.1,2.9,0,65,8.3
마장2교,2020/05/15 8:00,8.3,16.3,1.3,1,78,8.3
마장2교,2020/05/15 9:00,8.3,15.4,3.7,1.5,83,8.3
마장2교,2020/05/15 10:00,8.3,15,3,2.5,88,8.3
마장2교,2020/05/15 11:00,8.3,14.9,3.5,2,90,8.3
마장2교,2020/05/15 12:00,8.3,15.4,3.8,0.5,91,8.3
마장2교,2020/05/15 13:00,8.3,16.3,3.9,0,87,8.3
마장2교,2020/05/15 14:00,8.3,15.8,3.8,0.5,91,8.3
마장2교,2020/05/15 15:00,8.3,15.5,3.9,0.5,95,8.3
마장2교,2020/05/15 16:00,8.3,15.6,2.5,0.5,97,8.3
마장2교,2020/05/15 17:00,8.3,15.9,3.6,0.5,97,8.3
마장2교,2020/05/15 18:00,8.3,15.8,3.3,0,94,8.3
마장2교,2020/05/15 19:00,8.3,15.8,2.1,0.5,96,8.3
마장2교,2020/05/15 20:00,8.3,15.7,3,0,96,8.3
마장2교,2020/05/15 21:00,8.3,15.9,2.2,0,97,8.3
마장2교,2020/05/15 22:00,8.3,15.7,1.9,0.5,96,8.3
마장2교,2020/05/15 23:00,8.3,15.8,1.3,0,98,8.3
마장2교,2020/05/16 0:00,8.3,16,1.6,0,97,8.3
마장2교,2020/05/16 1:00,8.3,16,1,0,97,8.3
마장2교,2020/05/16 2:00,8.3,15.8,0.4,0,98,8.3
마장2교,2020/05/16 3:00,8.3,15.7,0.4,0,98,8.3
마장2교,2020/05/16 4:00,8.3,15.7,1.1,0.5,98,8.3
마장2교,2020/05/16 5:00,8.3,15.7,0.7,0,98,8.3
마장2교,2020/05/16 6:00,8.3,15.8,0.5,0,98,8.3
마장2교,2020/05/16 7:00,8.3,15.9,0.5,0,98,8.3
