관측소명,시간,수위,기온(°C),풍속(m/s),강수량(mm),습도(%),예측수위
성동교,2020/05/15 0:00,4.78,20.9,1,0,36,4.79
성동교,2020/05/15 1:00,4.79,20.4,0.7,0,42,4.79
성동교,2020/05/15 2:00,4.79,20.6,2.6,0,40,4.79
성동교,2020/05/15 3:00,4.79,20.4,0.4,0,40,4.78
성동교,2020/05/15 4:00,4.78,20.8,0.9,0,41,4.78
성동교,2020/05/15 5:00,4.78,20.2,1.6,0,46,4.78
성동교,2020/05/15 6:00,4.78,18.9,1,0,58,4.78
성동교,2020/05/15 7:00,4.78,18.1,2.9,0,65,4.79
성동교,2020/05/15 8:00,4.79,16.3,1.3,1,78,4.78
성동교,2020/05/15 9:00,4.78,15.4,3.7,1.5,83,4.77
성동교,2020/05/15 10:00,4.77,15,3,2.5,88,4.77
성동교,2020/05/15 11:00,4.77,14.9,3.5,2,90,4.79
성동교,2020/05/15 12:00,4.79,15.4,3.8,0.5,91,4.85
성동교,2020/05/15 13:00,4.85,16.3,3.9,0,87,4.86
성동교,2020/05/15 14:00,4.86,15.8,3.8,0.5,91,4.8
성동교,2020/05/15 15:00,4.8,15.5,3.9,0.5,95,4.79
성동교,2020/05/15 16:00,4.79,15.6,2.5,0.5,97,4.77
성동교,2020/05/15 17:00,4.77,15.9,3.6,0.5,97,4.85
성동교,2020/05/15 18:00,4.85,15.8,3.3,0,94,4.8
성동교,2020/05/15 19:00,4.8,15.8,2.1,0.5,96,4.79
성동교,2020/05/15 20:00,4.79,15.7,3,0,96,4.79
성동교,2020/05/15 21:00,4.79,15.9,2.2,0,97,4.8
성동교,2020/05/15 22:00,4.8,15.7,1.9,0.5,96,4.79
성동교,2020/05/15 23:00,4.79,15.8,1.3,0,98,4.8
성동교,2020/05/16 0:00,4.8,16,1.6,0,97,4.79
성동교,2020/05/16 1:00,4.79,16,1,0,97,4.79
성동교,2020/05/16 2:00,4.79,15.8,0.4,0,98,4.79
성동교,2020/05/16 3:00,4.79,15.7,0.4,0,98,4.79
성동교,2020/05/16 4:00,4.79,15.7,1.1,0.5,98,4.79
성동교,2020/05/16 5:00,4.79,15.7,0.7,0,98,4.79
성동교,2020/05/16 6:00,4.79,15.8,0.5,0,98,4.79
성동교,2020/05/16 7:00,4.79,15.9,0.5,0,98,4.79
성동교,2020/05/16 8:00,4.79,15.9,1.1,0.5,98,4.79
성동교,2020/05/16 9:00,4.79,16.2,1.1,0,98,4.79
성동교,2020/05/16 10:00,4.79,16.5,0.9,0,98,4.79
성동교,2020/05/16 11:00,4.79,16.8,0.4,0,98,4.78
성동교,2020/05/16 12:00,4.78,16.7,0.5,0.5,98,4.78
성동교,2020/05/16 13:00,4.78,18.2,0.6,0,97,4.78
성동교,2020/05/16 14:00,4.78,19,1.1,0,86,4.78
성동교,2020/05/16 15:00,4.78,19.3,1.2,0,84,4.78
성동교,2020/05/16 16:00,4.78,20,1.4,0,80,4.78
성동교,2020/05/16 17:00,4.78,20,1.9,0,80,4.79
성동교,2020/05/16 18:00,4.79,19.5,2.7,0,81,4.78
성동교,2020/05/16 19:00,4.78,18.6,2.7,0,86,4.79
성동교,2020/05/16 20:00,4.79,18,1.3,0,87,4.79
성동교,2020/05/16 21:00,4.79,17.6,1.3,0,89,4.79
성동교,2020/05/16 22:00,4.79,17.2,1.1,0,90,4.79
성동교,2020/05/16 23:00,4.79,16.8,1.5,0,92,4.79
성동교,2020/05/17 0:00,4.79,16.8,1.4,0,92,4.79
성동교,2020/05/17 1:00,4.79,16.5,1.4,0,93,4.79
성동교,2020/05/17 2:00,4.79,16.7,2.2,0,93,4.79
성동교,2020/05/17 3:00,4.79,16.7,1.2,0,93,4.79
성동교,2020/05/17 4:00,4.79,16.1,1,0,94,4.79
성동교,2020/05/17 5:00,4.79,16,1.8,0,94,4.79
성동교,2020/05/17 6:00,4.79,15.7,0.1,0,95,4.79
성동교,2020/05/17 7:00,4.79,16.2,2,0,95,4.8
성동교,2020/05/17 8:00,4.8,17.1,1.5,0,89,4.81
성동교,2020/05/17 9:00,4.81,18.8,1.9,0,80,4.78
성동교,2020/05/17 10:00,4.78,18.7,2,0,81,4.78
성동교,2020/05/17 11:00,4.78,19.6,2.8,0,78,4.76
성동교,2020/05/17 12:00,4.76,20.1,3.6,0,77,4.77
성동교,2020/05/17 13:00,4.77,20.9,1.6,0,76,4.79
성동교,2020/05/17 14:00,4.79,23.1,0.7,0,66,4.78
성동교,2020/05/17 15:00,4.78,23.7,1.2,0,62,4.79
성동교,2020/05/17 16:00,4.79,25.3,1.6,0,58,4.78
성동교,2020/05/17 17:00,4.78,24.9,1.7,0,60,4.79
성동교,2020/05/17 18:00,4.79,24.4,1.8,0,64,4.78
성동교,2020/05/17 19:00,4.78,22.9,0.7,0,74,4.78
성동교,2020/05/17 20:00,4.78,22.3,1.9,0,77,4.79
성동교,2020/05/17 21:00,4.79,20.7,1.4,0,83,4.78
성동교,2020/05/17 22:00,4.78,20.3,0.6,0,85,4.78
성동교,2020/05/17 23:00,4.78,20.1,1,0,86,4.79
성동교,2020/05/18 0:00,4.79,20.2,2.2,0,83,4.79
성동교,2020/05/18 1:00,4.79,20.1,0.6,0,83,4.78
성동교,2020/05/18 2:00,4.78,19.8,0.1,0,85,4.78
성동교,2020/05/18 3:00,4.78,19.8,0.4,0,85,4.78
성동교,2020/05/18 4:00,4.78,19.1,0.7,0,89,4.78
성동교,2020/05/18 5:00,4.78,19.3,0.5,0,89,4.79
성동교,2020/05/18 6:00,4.79,19.6,0.4,0,88,4.79
성동교,2020/05/18 7:00,4.79,20.1,1.3,0,87,4.79
성동교,2020/05/18 8:00,4.79,20.2,1.3,0,89,4.79
성동교,2020/05/18 9:00,4.79,21.1,2.1,0,84,4.79
성동교,2020/05/18 10:00,4.79,22.3,1.2,0,76,4.79
성동교,2020/05/18 11:00,4.79,23.6,2.1,0,70,4.79
성동교,2020/05/18 12:00,4.79,24.4,3,0,60,4.79
성동교,2020/05/18 13:00,4.79,25,4.9,0,57,4.78
성동교,2020/05/18 14:00,4.78,25.7,4.3,0,50,4.79
성동교,2020/05/18 15:00,4.79,25.6,4.4,0,48,4.8
성동교,2020/05/18 16:00,4.8,24.1,1.8,0,60,4.83
성동교,2020/05/18 17:00,4.83,17.4,2.2,20.5,97,5.17
성동교,2020/05/18 18:00,5.17,18.1,1.7,0,94,5.08
