관측소명,시간,수위,기온(°C),풍속(m/s),강수량(mm),습도(%),예측수위
월계1교,2020/05/15 0:00,14.07,16.5,0.5,0,62,14.07
월계1교,2020/05/15 1:00,14.07,17.8,1.2,0,51,14.07
월계1교,2020/05/15 2:00,14.07,18.2,1.1,0,47,14.07
월계1교,2020/05/15 3:00,14.07,17.8,0.4,0,50,14.07
월계1교,2020/05/15 4:00,14.07,16.9,1.7,0,61,14.07
월계1교,2020/05/15 5:00,14.07,15.6,0.5,0,79,14.06
월계1교,2020/05/15 6:00,14.06,14.3,0.6,0,96,14.06
월계1교,2020/05/15 7:00,14.06,14.6,1.1,0.5,98,14.06
월계1교,2020/05/15 8:00,14.06,14.7,0.5,1,97,14.06
월계1교,2020/05/15 9:00,14.06,14.4,2.1,1,96,14.06
월계1교,2020/05/15 10:00,14.06,13.9,3,2,95,14.08
월계1교,2020/05/15 11:00,14.08,13.8,3.3,2,97,14.09
월계1교,2020/05/15 12:00,14.09,14.8,2.4,1,96,14.09
월계1교,2020/05/15 13:00,14.09,15.2,2.1,0,94,14.09
월계1교,2020/05/15 14:00,14.09,15.2,2.5,0,97,14.11
월계1교,2020/05/15 15:00,14.11,15,1.7,0.5,98,14.13
월계1교,2020/05/15 16:00,14.13,14.7,2.1,1,98,14.13
월계1교,2020/05/15 17:00,14.13,14.9,1.6,0,98,14.13
월계1교,2020/05/15 18:00,14.13,15.1,2.1,0.5,98,14.12
월계1교,2020/05/15 19:00,14.12,14.9,1.9,0,98,14.12
월계1교,2020/05/15 20:00,14.12,14.9,1.4,0.5,98,14.12
월계1교,2020/05/15 21:00,14.12,14.9,1.6,0,98,14.11
월계1교,2020/05/15 22:00,14.11,15,1.5,0.5,98,14.11
월계1교,2020/05/15 23:00,14.11,14.8,1.2,0,98,14.11
월계1교,2020/05/16 0:00,14.11,14.9,1.8,0,98,14.12
월계1교,2020/05/16 1:00,14.12,14.9,1.1,0,98,14.12
월계1교,2020/05/16 2:00,14.12,14.8,1.2,0,98,14.12
월계1교,2020/05/16 3:00,14.12,14.8,0.6,0.5,98,14.11
월계1교,2020/05/16 4:00,14.11,14.7,1.1,0,98,14.11
월계1교,2020/05/16 5:00,14.11,14.7,1.2,0,98,14.1
월계1교,2020/05/16 6:00,14.1,14.8,0.4,0,98,14.1
월계1교,2020/05/16 7:00,14.1,14.9,0.4,0.5,98,14.09
월계1교,2020/05/16 8:00,14.09,15.2,0.3,0,98,14.09
월계1교,2020/05/16 9:00,14.09,15.6,1.3,0,98,14.09
월계1교,2020/05/16 10:00,14.09,15.9,0.7,0,98,14.09
월계1교,2020/05/16 11:00,14.09,16.3,0.8,0,98,14.09
월계1교,2020/05/16 12:00,14.09,16.8,0.7,0,98,14.1
월계1교,2020/05/16 13:00,14.1,18.9,0.8,0,92,14.09
월계1교,2020/05/16 14:00,14.09,19.6,0.8,0,85,14.09
월계1교,2020/05/16 15:00,14.09,19.9,0.8,0,82,14.09
월계1교,2020/05/16 16:00,14.09,20.5,1.1,0,78,14.09
월계1교,2020/05/16 17:00,14.09,20.6,1,0,77,14.09
월계1교,2020/05/16 18:00,14.09,20.1,1.1,0,80,14.09
월계1교,2020/05/16 19:00,14.09,19.1,0.4,0,84,14.09
월계1교,2020/05/16 20:00,14.09,18.2,0.9,0,87,14.09
월계1교,2020/05/16 21:00,14.09,17.4,0.3,0,91,14.09
월계1교,2020/05/16 22:00,14.09,15.4,0.3,0,95,14.09
월계1교,2020/05/16 23:00,14.09,16.9,0.2,0,97,14.09
월계1교,2020/05/17 0:00,14.09,16.7,0.8,0,93,14.09
월계1교,2020/05/17 1:00,14.09,16.4,0.3,0,93,14.09
월계1교,2020/05/17 2:00,14.09,16.5,0.3,0,93,14.09
월계1교,2020/05/17 3:00,14.09,16.5,0.8,0,93,14.09
월계1교,2020/05/17 4:00,14.09,16.2,0.1,0,94,14.09
월계1교,2020/05/17 5:00,14.09,16.4,1.7,0,93,14.08
월계1교,2020/05/17 6:00,14.08,15.8,0.2,0,94,14.09
월계1교,2020/05/17 7:00,14.09,16.1,1,0,94,14.08
월계1교,2020/05/17 8:00,14.08,17,0.9,0,91,14.08
월계1교,2020/05/17 9:00,14.08,19.1,1.3,0,82,14.08
월계1교,2020/05/17 10:00,14.08,19.2,0.8,0,80,14.08
월계1교,2020/05/17 11:00,14.08,20.1,0.9,0,76,14.08
월계1교,2020/05/17 12:00,14.08,21.2,1.4,0,71,14.07
월계1교,2020/05/17 13:00,14.07,21.6,1.3,0,71,14.09
월계1교,2020/05/17 14:00,14.09,22.6,1.1,0,72,14.08
월계1교,2020/05/17 15:00,14.08,23.1,0.6,0,67,14.07
월계1교,2020/05/17 16:00,14.07,24.5,0.9,0,63,14.07
월계1교,2020/05/17 17:00,14.07,24.5,0.8,0,59,14.08
월계1교,2020/05/17 18:00,14.08,24.2,0.4,0,62,14.08
월계1교,2020/05/17 19:00,14.08,22.1,0.8,0,78,14.09
월계1교,2020/05/17 20:00,14.09,19.7,0.6,0,88,14.09
월계1교,2020/05/17 21:00,14.09,18.8,0.2,0,94,14.09
월계1교,2020/05/17 22:00,14.09,18.6,1.3,0,94,14.09
월계1교,2020/05/17 23:00,14.09,17.7,0.1,0,97,14.09
월계1교,2020/05/18 0:00,14.09,17,0.2,0,98,14.09
월계1교,2020/05/18 1:00,14.09,17,0.3,0,98,14.09
월계1교,2020/05/18 2:00,14.09,16.8,0.4,0,98,14.1
월계1교,2020/05/18 3:00,14.1,16.3,0.2,0,98,14.1
월계1교,2020/05/18 4:00,14.1,16.3,0.2,0,98,14.09
월계1교,2020/05/18 5:00,14.09,16,0.1,0,98,14.09
월계1교,2020/05/18 6:00,14.09,16.7,0.1,0,98,14.09
월계1교,2020/05/18 7:00,14.09,18.3,0.5,0,98,14.08
월계1교,2020/05/18 8:00,14.08,20,0.6,0,90,14.09
월계1교,2020/05/18 9:00,14.09,20.1,0.9,0,88,14.08
월계1교,2020/05/18 10:00,14.08,22,1.5,0,79,14.08
월계1교,2020/05/18 11:00,14.08,23.1,1.5,0,70,14.09
월계1교,2020/05/18 12:00,14.09,24.3,2.8,0,61,14.09
월계1교,2020/05/18 13:00,14.09,25.9,4.1,0,55,14.09
월계1교,2020/05/18 14:00,14.09,26.6,5.4,0,53,14.1
월계1교,2020/05/18 15:00,14.1,25.2,4.4,0,51,14.1
월계1교,2020/05/18 16:00,14.1,23.6,1.3,0,64,14.24
월계1교,2020/05/18 17:00,14.24,17.4,2,13,98,14.31
월계1교,2020/05/18 18:00,14.31,17.3,2.7,0.5,97,14.25
월계1교,2020/05/18 19:00,14.25,17.2,1.4,6,98,14.44
월계1교,2020/05/18 20:00,14.44,17.2,1.2,5,98,14.46
월계1교,2020/05/18 21:00,14.46,16.7,1.4,2,98,14.41
월계1교,2020/05/18 22:00,14.41,13.6,2.2,1,98,14.39
월계1교,2020/05/18 23:00,14.39,13.5,1,0.5,98,14.35
월계1교,2020/05/19 0:00,14.35,13.7,0.7,0,96,14.32
월계1교,2020/05/19 1:00,14.32,13.4,0.7,0,95,14.29
월계1교,2020/05/19 2:00,14.29,13.6,0.8,0,90,14.27
월계1교,2020/05/19 3:00,14.27,12.9,1.3,0,90,14.25
월계1교,2020/05/19 4:00,14.25,13.1,1.9,0,89,14.23
월계1교,2020/05/19 5:00,14.23,12.2,1,2,96,14.23
월계1교,2020/05/19 6:00,14.23,12.2,0.5,0,98,14.22
월계1교,2020/05/19 7:00,14.22,12.5,1.2,0,90,14.2
월계1교,2020/05/19 8:00,14.2,11.9,1.3,0.5,94,14.19
월계1교,2020/05/19 9:00,14.19,11.8,1.9,3.5,97,14.23
월계1교,2020/05/19 10:00,14.23,12,1.2,2.5,98,14.24
월계1교,2020/05/19 11:00,14.24,12.7,1.1,3,98,14.25
월계1교,2020/05/19 12:00,14.25,13.8,1.5,0,92,14.29
월계1교,2020/05/19 13:00,14.29,15,2.7,0,79,14.32
월계1교,2020/05/19 14:00,14.32,15.8,2.6,0.5,65,14.31
월계1교,2020/05/19 15:00,14.31,16.3,2.5,0,61,14.28
월계1교,2020/05/19 16:00,14.28,16.4,2.9,0,59,14.25
월계1교,2020/05/19 17:00,14.25,15.1,2.3,0,56,14.23
월계1교,2020/05/19 18:00,14.23,14.1,1.6,0,58,14.22
월계1교,2020/05/19 19:00,14.22,13.3,2.7,0,61,14.21
월계1교,2020/05/19 20:00,14.21,12.9,1.9,0,62,14.2
월계1교,2020/05/19 21:00,14.2,11.5,1.1,0,67,14.2
월계1교,2020/05/19 22:00,14.2,10.5,1.1,0,72,14.19
월계1교,2020/05/19 23:00,14.19,10,0.3,0,76,14.19
월계1교,2020/05/20 0:00,14.19,9.7,0.2,0,79,14.19
월계1교,2020/05/20 1:00,14.19,9.8,0.3,0,78,14.19
월계1교,2020/05/20 2:00,14.19,9.4,0.5,0,79,14.19
월계1교,2020/05/20 3:00,14.19,8.7,1.2,0,88,14.18
월계1교,2020/05/20 4:00,14.18,9.3,0.5,0,80,14.17
월계1교,2020/05/20 5:00,14.17,9.5,0.7,0,79,14.17
월계1교,2020/05/20 6:00,14.17,9.9,0.5,0,77,14.16
월계1교,2020/05/20 7:00,14.16,10.6,1.3,0,77,14.16
월계1교,2020/05/20 8:00,14.16,11.9,1.6,0,72,14.15
월계1교,2020/05/20 9:00,14.15,13.3,2.1,0,63,14.16
월계1교,2020/05/20 10:00,14.16,14.4,2.6,0,57,14.16
월계1교,2020/05/20 11:00,14.16,15.3,2.8,0,58,14.16
월계1교,2020/05/20 12:00,14.16,17.3,2.1,0,54,14.17
월계1교,2020/05/20 13:00,14.17,17.8,2.1,0,55,14.18
월계1교,2020/05/20 14:00,14.18,18,1.6,0,54,14.18
월계1교,2020/05/20 15:00,14.18,19.3,1.6,0,53,14.16
월계1교,2020/05/20 16:00,14.16,18.1,3,0,54,14.16
월계1교,2020/05/20 17:00,14.16,18.5,2.3,0,54,14.15
월계1교,2020/05/20 18:00,14.15,16.9,2.8,0,57,14.15
