RIVERGAUGE_CODE,RIVERGAUGE_NAME,RIVER_NAME,GU_NAME,LEVEE_LEVEL,PLANFLOOD_LEVEL,ORDINARY_LEVEL,RIVERLEN
301,모래말옆,방학천            ,도봉구,24.63,23.89,20.95,20.7
302,노원교,중랑천            ,도봉구,30.92,28.43,21.44,96.4
303,계성교,우이천            ,도봉구,33.19,32.81,29.39,32.6
401,장월교,우이천            ,노원구,20.2,20.12,15.2,45.2
402,신의교,중랑천            ,노원구,40.02,39.32,32.87,134.5
403,월계1교,중랑천            ,노원구,21.16,19.95,13.17,134.4
801,용두교,정릉천            ,동대문구,17.12,17.05,11.92,61.6
901,성동교,중랑천            ,성동구,19.49,17.05,4,235.9
902,마장2교,청계천            ,성동구,18.34,17.05,7.21,156.1
1401,증산교,불광천            ,서대문구,14.28,13.54,6.7,68.6
1501,성산2교,홍제천            ,마포구,16.32,15.3,10.8,48.9
2001,고척교,안양천            ,구로구,15.44,14.07,3.09,224.4
2002,도림교,도림천            ,구로구,14.36,13.95,4.64,130.6
2003,광화교,목감천            ,구로구,14.3,12.76,7.59,56.3
2201,기아대교,안양천            ,금천구,18.35,16.18,9.7,214.4
2301,신대방역,도림천            ,관악구,17.55,16.36,11.95,80
2303,양산교,도림천            ,관악구,35.4,34.52,31.05,32.4
2502,봉은교,탄천              ,송파구,21.43,16,5.2,135.7
