지하철역,반경 내 대학 수
가산디지털단지,0
개봉,2
광운대,3
구로,2
구일,1
금천구청,0
남영,1
노량진,1
녹천,0
대방,0
도봉,0
도봉산,0
독산,0
동대문,2
동묘앞,2
방학,0
서울,3
석계,2
시청,4
신길,0
신도림,1
신설동,0
신이문,4
영등포,0
오류동,1
온수,1
외대앞,4
용산,0
월계,1
제기동,1
종각,1
종로3가,1
종로5가,2
창동,0
청량리,2
회기,5
강남,1
강변,0
건대입구,2
교대,2
구로디지털단지,0
구의,0
까치산,0
낙성대,0
당산,0
대림,1
도림천,0
동대문역사문화공원,1
뚝섬,2
문래,0
방배,1
봉천,0
사당,1
삼성,0
상왕십리,0
서울대입구,0
서초,2
선릉,0
성수,2
신답,1
신당,0
신대방,0
신림,0
신정네거리,0
신촌,4
아현,5
양천구청,1
역삼,0
영등포구청,0
왕십리,2
용답,2
용두,0
을지로3가,2
을지로4가,3
을지로입구,1
이대,4
잠실,0
잠실나루,0
잠실새내,0
종합운동장,0
충정로,5
한양대,2
합정,1
홍대입구,3
가락시장,0
경복궁,3
경찰병원,0
고속터미널,1
구파발,0
금호,0
남부터미널,1
녹번,0
대청,0
대치,0
도곡,0
독립문,5
동대입구,1
매봉,0
무악재,1
불광,0
수서,0
신사,1
안국,0
압구정,1
약수,1
양재,0
연신내,0
오금,0
옥수,0
일원,0
잠원,0
충무로,2
학여울,0
홍제,2
길음,2
남태령,0
노원,0
당고개,1
동작,0
명동,2
미아,1
미아사거리,1
삼각지,1
상계,0
성신여대입구,3
수유,1
숙대입구,1
신용산,0
쌍문,0
이촌,0
총신대입구,2
한성대입구,5
혜화,4
회현,1
강동,0
개롱,0
개화산,0
거여,0
고덕,0
공덕,3
광나루,1
광화문,4
군자,2
굽은다리,0
길동,0
김포공항,0
답십리,2
둔촌동,1
마곡,0
마장,2
마천,0
마포,1
명일,0
목동,0
발산,1
방이,1
방화,0
상일동,0
서대문,4
송정,0
신금호,0
신정,0
아차산,2
애오개,5
양평,0
여의나루,0
여의도,0
영등포시장,0
오목교,0
올림픽공원,1
우장산,1
장한평,1
천호,0
청구,1
행당,0
화곡,1
고려대,1
광흥창,3
구산,1
녹사평,1
대흥,3
독바위,0
돌곶이,4
디지털미디어시티,0
마포구청,0
망원,1
버티고개,1
보문,5
봉화산,1
상수,2
상월곡,5
새절,3
신내,0
안암,2
역촌,1
월곡,2
월드컵경기장,0
응암,1
이태원,1
증산,2
창신,3
태릉입구,2
한강진,1
화랑대,1
효창공원앞,2
강남구청,1
공릉,2
남구로,1
남성,1
내방,1
논현,1
뚝섬유원지,0
마들,0
먹골,1
면목,0
반포,1
보라매,0
사가정,0
상도,2
상봉,0
수락산,0
숭실대입구,3
신대방삼거리,0
신풍,0
어린이대공원,2
용마산,0
이수,2
장승배기,1
중계,0
중곡,0
중화,0
천왕,1
청담,0
하계,2
학동,1
강동구청,0
몽촌토성,0
문정,0
복정,0
석촌,0
송파,0
암사,0
장지,0
가양,0
개화,0
공항시장,0
구반포,0
국회의사당,0
노들,1
둔촌오륜,1
등촌,0
마곡나루,0
봉은사,0
사평,2
삼성중앙,0
삼전,0
샛강,0
석촌고분,0
선유도,0
선정릉,1
송파나루,0
신논현,1
신목동,0
신반포,1
신방화,0
양천향교,0
언주,1
염창,0
중앙보훈병원,0
증미,0
한성백제,1
흑석,1
