지하철역,반경 내 학교 수
가산디지털단지,2
개봉,7
광운대,9
구로,8
구일,8
금천구청,5
남영,8
노량진,2
녹천,10
대방,10
도봉,9
도봉산,7
독산,5
동대문,10
동묘앞,11
방학,9
서울,6
석계,10
시청,6
신길,8
신도림,7
신설동,10
신이문,6
영등포,8
오류동,6
온수,8
외대앞,3
용산,4
월계,14
제기동,7
종각,7
종로3가,5
종로5가,4
창동,13
청량리,10
회기,12
강남,5
강변,9
건대입구,11
교대,6
구로디지털단지,10
구의,13
까치산,8
낙성대,12
당산,9
대림,15
도림천,10
동대문역사문화공원,10
뚝섬,7
문래,6
방배,6
봉천,8
사당,8
삼성,5
상왕십리,13
서울대입구,10
서초,6
선릉,5
성수,8
신답,9
신당,15
신대방,11
신림,9
신정네거리,13
신촌,6
아현,13
양천구청,9
역삼,1
영등포구청,10
왕십리,12
용답,7
용두,6
을지로3가,4
을지로4가,3
을지로입구,5
이대,12
잠실,6
잠실나루,6
잠실새내,11
종합운동장,7
충정로,17
한양대,9
합정,2
홍대입구,4
가락시장,6
경복궁,7
경찰병원,11
고속터미널,10
구파발,5
금호,10
남부터미널,4
녹번,3
대청,11
대치,10
도곡,14
독립문,8
동대입구,7
매봉,10
무악재,4
불광,7
수서,5
신사,4
안국,8
압구정,8
약수,11
양재,5
연신내,10
오금,13
옥수,8
일원,9
잠원,6
충무로,8
학여울,8
홍제,7
길음,10
남태령,1
노원,15
당고개,2
동작,1
명동,6
미아,8
미아사거리,12
삼각지,3
상계,11
성신여대입구,13
수유,4
숙대입구,9
신용산,4
쌍문,11
이촌,5
총신대입구,9
한성대입구,14
혜화,5
회현,7
강동,6
개롱,11
개화산,8
거여,10
고덕,15
공덕,10
광나루,8
광화문,7
군자,6
굽은다리,12
길동,10
김포공항,3
답십리,7
둔촌동,12
마곡,6
마장,7
마천,6
마포,7
명일,13
목동,9
발산,8
방이,11
방화,10
상일동,12
서대문,12
송정,9
신금호,12
신정,12
아차산,6
애오개,16
양평,0
여의나루,4
여의도,5
영등포시장,3
오목교,8
올림픽공원,10
우장산,10
장한평,5
천호,7
청구,15
행당,13
화곡,7
고려대,10
광흥창,4
구산,8
녹사평,4
대흥,11
독바위,8
돌곶이,10
디지털미디어시티,9
마포구청,11
망원,6
버티고개,9
보문,11
봉화산,10
상수,3
상월곡,5
새절,8
신내,7
안암,9
역촌,7
월곡,8
월드컵경기장,6
응암,6
이태원,4
증산,9
창신,13
태릉입구,8
한강진,6
화랑대,12
효창공원앞,8
강남구청,6
공릉,11
남구로,4
남성,10
내방,6
논현,4
뚝섬유원지,6
마들,19
먹골,10
면목,6
반포,9
보라매,15
사가정,8
상도,7
상봉,8
수락산,9
숭실대입구,10
신대방삼거리,12
신풍,14
어린이대공원,6
용마산,6
이수,9
장승배기,9
중계,21
중곡,8
중화,9
천왕,8
청담,8
하계,20
학동,3
강동구청,10
몽촌토성,8
문정,10
복정,0
석촌,7
송파,10
암사,8
장지,6
가양,15
개화,3
공항시장,7
구반포,9
국회의사당,1
노들,4
둔촌오륜,9
등촌,12
마곡나루,3
봉은사,5
사평,7
삼성중앙,5
삼전,6
샛강,7
석촌고분,6
선유도,11
선정릉,3
송파나루,7
신논현,7
신목동,5
신반포,10
신방화,11
양천향교,10
언주,2
염창,9
중앙보훈병원,5
증미,14
한성백제,7
흑석,7
