호선명,지하철역,반경 내 학교 수
1호선,가산디지털단지,2
1호선,개봉,7
1호선,광운대,9
1호선,구로,8
1호선,구일,8
1호선,금천구청,5
1호선,남영,8
1호선,노량진,2
1호선,녹천,10
1호선,대방,10
1호선,도봉,9
1호선,도봉산,7
1호선,독산,5
1호선,동대문,10
1호선,동묘앞,11
1호선,방학,9
1호선,서울,6
1호선,석계,10
1호선,시청,6
1호선,신길,8
1호선,신도림,7
1호선,신설동,10
1호선,신이문,6
1호선,영등포,8
1호선,오류동,6
1호선,온수,8
1호선,외대앞,3
1호선,용산,4
1호선,월계,14
1호선,제기동,7
1호선,종각,7
1호선,종로3가,5
1호선,종로5가,4
1호선,창동,13
1호선,청량리,10
1호선,회기,12
2호선,강남,5
2호선,강변,9
2호선,건대입구,11
2호선,교대,6
2호선,구로디지털단지,10
2호선,구의,13
2호선,까치산,8
2호선,낙성대,12
2호선,당산,9
2호선,대림,15
2호선,도림천,10
2호선,동대문역사문화공원,10
2호선,뚝섬,7
2호선,문래,6
2호선,방배,6
2호선,봉천,8
2호선,사당,8
2호선,삼성,5
2호선,상왕십리,13
2호선,서울대입구,10
2호선,서초,6
2호선,선릉,5
2호선,성수,8
2호선,시청,6
2호선,신답,9
2호선,신당,15
2호선,신대방,11
2호선,신도림,7
2호선,신림,9
2호선,신설동,10
2호선,신정네거리,13
2호선,신촌,6
2호선,아현,13
2호선,양천구청,9
2호선,역삼,1
2호선,영등포구청,10
2호선,왕십리,12
2호선,용답,7
2호선,용두,6
2호선,을지로3가,4
2호선,을지로4가,3
2호선,을지로입구,5
2호선,이대,12
2호선,잠실,6
2호선,잠실나루,6
2호선,잠실새내,11
2호선,종합운동장,7
2호선,충정로,17
2호선,한양대,9
2호선,합정,2
2호선,홍대입구,4
3호선,가락시장,6
3호선,경복궁,7
3호선,경찰병원,11
3호선,고속터미널,10
3호선,교대,6
3호선,구파발,5
3호선,금호,10
3호선,남부터미널,4
3호선,녹번,3
3호선,대청,11
3호선,대치,10
3호선,도곡,14
3호선,독립문,8
3호선,동대입구,7
3호선,매봉,10
3호선,무악재,4
3호선,불광,7
3호선,수서,5
3호선,신사,4
3호선,안국,8
3호선,압구정,8
3호선,약수,11
3호선,양재,5
3호선,연신내,10
3호선,오금,13
3호선,옥수,8
3호선,을지로3가,4
3호선,일원,9
3호선,잠원,6
3호선,종로3가,5
3호선,충무로,8
3호선,학여울,8
3호선,홍제,7
4호선,길음,10
4호선,남태령,1
4호선,노원,15
4호선,당고개,2
4호선,동대문,10
4호선,동대문역사문화공원,10
4호선,동작,1
4호선,명동,6
4호선,미아,8
4호선,미아사거리,12
4호선,사당,8
4호선,삼각지,3
4호선,상계,11
4호선,서울,6
4호선,성신여대입구,13
4호선,수유,4
4호선,숙대입구,9
4호선,신용산,4
4호선,쌍문,11
4호선,이촌,5
4호선,창동,13
4호선,총신대입구,9
4호선,충무로,8
4호선,한성대입구,14
4호선,혜화,5
4호선,회현,7
5호선,강동,6
5호선,개롱,11
5호선,개화산,8
5호선,거여,10
5호선,고덕,15
5호선,공덕,10
5호선,광나루,8
5호선,광화문,7
5호선,군자,6
5호선,굽은다리,12
5호선,길동,10
5호선,김포공항,3
5호선,까치산,8
5호선,답십리,7
5호선,동대문역사문화공원,10
5호선,둔촌동,12
5호선,마곡,6
5호선,마장,7
5호선,마천,6
5호선,마포,7
5호선,명일,13
5호선,목동,9
5호선,발산,8
5호선,방이,11
5호선,방화,10
5호선,상일동,12
5호선,서대문,12
5호선,송정,9
5호선,신금호,12
5호선,신길,8
5호선,신정,12
5호선,아차산,6
5호선,애오개,16
5호선,양평,0
5호선,여의나루,4
5호선,여의도,5
5호선,영등포구청,10
5호선,영등포시장,3
5호선,오금,13
5호선,오목교,8
5호선,올림픽공원,10
5호선,왕십리,12
5호선,우장산,10
5호선,을지로4가,3
5호선,장한평,5
5호선,종로3가,5
5호선,천호,7
5호선,청구,15
5호선,충정로,17
5호선,행당,13
5호선,화곡,7
6호선,고려대,10
6호선,공덕,10
6호선,광흥창,4
6호선,구산,8
6호선,녹사평,4
6호선,대흥,11
6호선,독바위,8
6호선,돌곶이,10
6호선,동묘앞,11
6호선,디지털미디어시티,9
6호선,마포구청,11
6호선,망원,6
