,출근출발_EE,출근출발_EH,출근출발_EW,출근출발_HE,출근출발_HH,출근출발_HW,출근출발_WE,출근출발_WH,출근출발_WW,출근도착_EE,출근도착_EH,출근도착_EW,출근도착_HE,출근도착_HH,출근도착_HW,출근도착_WE,출근도착_WH,출근도착_WW,퇴근출발_EE,퇴근출발_EH,퇴근출발_EW,퇴근출발_HE,퇴근출발_HH,퇴근출발_HW,퇴근출발_WE,퇴근출발_WH,퇴근출발_WW,퇴근도착_EE,퇴근도착_EH,퇴근도착_EW,퇴근도착_HE,퇴근도착_HH,퇴근도착_HW,퇴근도착_WE,퇴근도착_WH,퇴근도착_WW,읍면동
0,8564,5385,10607,25551,2348,93797,2571,2315,4052,5439,2962,2606,23862,1637,53867,2760,1848,2539,16632,28455,4785,23268,2298,7111,9032,37019,4943,17087,44346,4388,12559,2147,4881,10825,53080,5314,가락1동
1,3072,2265,1592,25188,1294,85647,1357,1184,1738,2856,2869,1695,13320,1234,39649,1230,1765,1701,13032,26188,3001,22729,2493,5891,6685,26579,2843,14076,41685,3200,14435,2418,3113,7075,52765,2676,가락2동
2,8792,5339,6986,33696,2338,118883,4413,3488,4707,7494,4538,5506,36484,2841,128959,4075,3352,4767,25923,45097,6986,28967,3227,7782,22412,79767,6736,29977,55702,8224,22676,3443,9018,21669,73073,7407,가락본동
3,1281,815,860,5878,534,22990,516,300,677,934,510,571,3411,297,14145,417,457,629,3323,5104,1064,4044,893,1251,2596,9177,1516,3588,10328,1427,2386,1448,794,1734,15597,1504,가리봉동
4,7310,2991,6824,18854,1535,82726,5459,3699,3534,9531,1695,12627,67639,1489,495915,4275,1530,6146,41098,71466,11628,13238,2646,3822,73429,304140,11488,30060,27408,12793,20768,2328,7137,33019,52973,6930,가산동
5,8810,5551,7711,30533,2259,116824,5422,4670,6541,9306,3381,9693,48595,1963,251409,4232,2705,6139,46172,77117,10841,26026,3855,7148,43446,162191,13391,45123,48222,12254,43816,3976,11559,38712,71878,10457,가양1동
6,2131,1134,1316,12729,645,42743,666,820,1092,2029,1637,1224,10502,846,31060,957,1134,1069,8274,17496,1924,9833,1506,2287,4875,19944,1541,7916,20584,1797,7537,1196,1591,5066,28027,2246,가양2동
7,1919,1209,1175,10053,479,36247,1085,867,1044,1809,1372,1277,9992,545,38730,749,872,1221,7030,17451,1732,7153,1425,1719,6505,25083,1857,7381,15433,1895,7910,1310,1370,3725,22328,1837,가양3동
8,1594,470,1010,4698,215,10847,547,536,518,2691,839,1237,13378,157,44156,1093,237,939,20655,17653,2090,3541,224,890,8002,26593,2192,13176,7116,1310,4960,238,618,6412,7389,1361,가회동
9,3004,1912,1396,19833,1012,72084,676,823,852,2987,1979,1032,18262,1440,34332,1093,1937,1081,15477,40025,3362,12932,4432,3808,4382,21866,2166,21999,29298,3155,23300,2260,5732,15662,49345,3516,갈현1동
10,2561,1265,851,21900,1049,70233,970,1084,1163,2302,2046,1146,12493,948,28098,701,1565,1028,9971,24668,1941,14103,2275,3696,3815,17854,2215,11334,31954,2813,15238,2503,5654,5776,43379,2980,갈현2동
11,5723,2430,3973,38949,1588,126462,3070,2414,4823,4150,4014,3837,18625,1181,78377,1860,3616,3506,15418,28554,3551,24572,1859,7451,15108,51746,5083,16287,54904,6267,12158,2171,3811,7057,73701,5278,강일동
12,3964,1720,1623,28996,1245,104775,1605,1016,2005,3083,2506,1463,13113,1419,28064,1421,2500,1631,10843,24029,2595,18161,3459,4792,3639,19248,1871,13751,41224,2923,10925,3078,2595,7154,67204,3527,개봉1동
