Index,호선,역명,엘리베이터(E/V),에스컬레이터(E/S),휠체어리프트(W/L),수평자동보도(M/W)
1,1호선,서울역,4,5,1,0
2,1호선,시청,3,3,0,0
3,1호선,종각,4,2,0,0
4,1호선,종로3가,3,4,0,0
5,1호선,종로5가,3,0,0,0
6,1호선,동대문,3,1,0,0
7,1호선,동묘앞,7,12,0,0
8,1호선,신설동,5,0,5,0
9,1호선,제기동,3,2,0,0
10,1호선,청량리,2,4,2,0
1,2호선,시청,2,4,0,0
2,2호선,을지로입구,4,6,0,0
3,2호선,을지로3가,2,0,0,0
4,2호선,을지로4가,3,2,0,0
5,2호선,동대문역사문화공원,3,2,0,0
6,2호선,신당,3,2,0,0
7,2호선,상왕십리,3,8,0,0
8,2호선,왕십리,2,8,0,0
9,2호선,한양대,2,2,1,0
10,2호선,뚝섬,4,8,0,0
11,2호선,성수,4,8,0,0
12,2호선,용답,2,0,2,0
13,2호선,신답,2,0,0,0
14,2호선,용두,4,12,0,0
15,2호선,신설동,2,0,6,0
16,2호선,건대입구,2,2,0,0
17,2호선,구의,2,6,0,0
18,2호선,강변,2,2,0,0
19,2호선,잠실나루,2,4,0,0
20,2호선,잠실,4,6,1,0
21,2호선,잠실새내,4,11,0,0
22,2호선,종합운동장,3,5,0,0
23,2호선,삼성,5,4,1,0
24,2호선,선릉,3,2,0,0
25,2호선,역삼,4,14,0,0
26,2호선,강남,4,0,0,0
27,2호선,교대,3,2,0,0
28,2호선,서초,4,8,0,0
29,2호선,방배,3,2,0,0
30,2호선,사당,3,12,0,0
31,2호선,낙성대,3,8,0,0
32,2호선,서울대입구,3,8,0,0
33,2호선,봉천,2,8,0,0
34,2호선,신림,3,4,0,0
35,2호선,신대방,3,8,0,0
36,2호선,구로디지털단지,4,4,0,0
37,2호선,대림,4,6,0,0
38,2호선,신도림,4,9,0,0
39,2호선,도림천,2,0,0,0
40,2호선,양천구청,3,2,0,0
41,2호선,신정네거리,3,4,1,0
42,2호선,문래,4,4,0,0
43,2호선,영등포구청,4,2,0,0
44,2호선,당산,4,1,0,0
45,2호선,합정,4,4,0,0
46,2호선,홍대입구,2,8,0,0
47,2호선,신촌,4,4,0,0
48,2호선,이대,3,4,0,0
49,2호선,아현,4,2,0,0
50,2호선,충정로,2,4,0,0
