보관소명,위치,상세주소,위도,경도
망원역 1번출구 앞,마포구,서울특별시 마포구 월드컵로 72,37.5556488,126.9106293
망원역 2번출구 앞,마포구,서울특별시 마포구 월드컵로 79,37.55495071,126.9108353
합정역 1번출구 앞,마포구,서울특별시 마포구 양화로 59,37.55062866,126.9149857
합정역 5번출구 앞,마포구,서울특별시 마포구 양화로 48,37.55000687,126.9148254
합정역 7번출구 앞,마포구,서울특별시 마포구 독막로 4,37.54864502,126.9128265
신한은행 서교동지점,마포구,서울특별시 마포구 월드컵북로 35,37.55751038,126.9185028
서교동 사거리,마포구,서울특별시 마포구 양화로 93,37.55274582,126.9186173
제일빌딩 앞,마포구,서울특별시 마포구 어울마당로 26,37.54769135,126.9199829
상수역 2번출구 앞,마포구,서울특별시 마포구 와우산로 40,37.54787064,126.9235306
극동방송국 앞,마포구,서울특별시 마포구 와우산로 56,37.54920197,126.9232025
홍대입구역 2번출구 앞,마포구,서울특별시 마포구 양화로 165,37.5574379,126.9238205
홍대입구역 8번출구 앞,마포구,서울특별시 마포구 양화로18길 3,37.55706024,126.9244232
마스타 빌딩 앞,서대문구,서울특별시 서대문구 연희로 7,37.55893326,126.9271164
일진아이윌아파트 옆,서대문구,서울특별시 서대문구 동교로 290,37.56454086,126.9270706
홍은사거리,서대문구,마포구 서강로1길 30 ,37.59115982,126.94133
광흥창역 2번출구 앞,마포구,서울특별시 마포구 독막로 지하165,37.54773331,126.9317627
서강나루 공원,마포구,서울특별시 마포구 창전로 30,37.54528427,126.9310532
신수동 사거리,마포구,서울특별시 마포구 토정로 211,37.54524231,126.9341126
마포소방서 앞,마포구,서울특별시 마포구 창전로 76,37.54976654,126.9331741
신성기사식당 앞,마포구,서울특별시 마포구 독막로 223-1,37.54745865,126.9383774
문화촌 공원,서대문구,서울특별시 서대문구 홍제동 277-23,37.59432983,126.9473877
서강대 정문 건너편,마포구,서울특별시 마포구 서강로16길 72,37.55113983,126.9369888
서강대 남문 옆,마포구,서울특별시 마포구 백범로 35,37.54948425,126.9389496
