키값,학교종류,학교명,본분교,학교상태,설립,주소,행정시,행정구,행정동,위도,경도
BE_LiST23-0034,일반대학,서울시립대학교,본교,기존,공립,서울 동대문구 서울시립대로 163 (전농동 90번지) ,서울특별시,동대문구,휘경2동,37.5825775765293,127.059988126984
BE_LiST23-0035,전문대학(3년제),서울여자간호대학교,본교,기존,사립,서울 서대문구 홍제3동 서울여자간호대학,서울특별시,서대문구,홍제2동,37.597029954835,126.956476606594
BE_LiST23-0036,일반대학,서울여자대학교,본교,기존,사립,서울특별시 노원구 화랑로 621 서울여자대학교,서울특별시,노원구,공릉2동,37.6273815936787,127.091621159803
BE_LiST23-0037,전문대학(2년제),서일대학교,본교,학교명 변경,사립,서울 중랑구 서일대학길 22(면목동 49-3) 서일대학교,서울특별시,중랑구,면목제3.8동,37.568214935515314,126.9640019006516
BE_LiST23-0038,일반대학,성공회대학교,본교,기존,사립,서울 구로구 항동 성공회대학교,서울특별시,구로구,오류2동,37.488462115938,126.82474771924
BE_LiST23-0039,일반대학,성균관대학교,본교,기존,사립,서울 종로구 명륜동3가 성균관대학교,서울특별시,종로구,종로1.2.3.4가동,37.5904163009275,126.997842699531
BE_LiST23-0040,일반대학,성신여자대학교,본교,기존,사립,서울 성북구 동선동3가 성신여자대학교,서울특별시,성북구,동선동,37.5946591280857,127.019888420673
BE_LiST23-0041,일반대학,세종대학교,본교,기존,사립,서울 광진구 군자동 세종대학교,서울특별시,광진구,군자동,37.549186395087,127.07505567644
BE_LiST23-0042,일반대학,숙명여자대학교,본교,기존,사립,서울 용산구 청파로47길 100 숙명여자대학교,서울특별시,용산구,청파동,37.5454740835781,126.965074376341
BE_LiST23-0043,일반대학,숭실대학교,본교,기존,사립,서울 동작구 상도동 511 숭실대학교,서울특별시,동작구,상도1동,37.4964019323152,126.956588222367
BE_LiST23-0044,전문대학(2년제),숭의여자대학교,본교,기존,사립,서울특별시 중구 소파로2길 10(예장동),서울특별시,중구,필동,37.5578530747432,126.987481605528
BE_LiST23-0045,일반대학,연세대학교,본교,기존,사립,서울 서대문구 신촌동 연세대학교,서울특별시,서대문구,신촌동,37.56052492196,126.93674890563
BE_LiST23-0046,일반대학,이화여자대학교,본교,기존,사립,서울 서대문구 대현동 11-1 이화여자대학교,서울특별시,서대문구,신촌동,37.5631740311778,126.947807434256
BE_LiST23-0047,전문대학(2년제),인덕대학교,본교,기존,사립,서울 노원구 초안산로 12,서울특별시,노원구,월계2동,37.6302514486494,127.054448642206
BE_LiST23-0048,일반대학,장로회신학대학교,본교,기존,사립,서울 광진구 광장로 5길 25-1(광장동) 장로회신학대학교,서울특별시,광진구,광장동,37.5486902335292,127.104573818024
BE_LiST23-0050,일반대학,중앙대학교 서울캠퍼스,본교,기존,사립,서울 동작구 흑석로 84,서울특별시,동작구,흑석동,37.5047267237807,126.953833907628
BE_LiST23-0051,일반대학,총신대학교,본교,기존,사립,서울 동작구 사당동 산31-3,서울특별시,동작구,사당3동,37.4908791135567,126.967182104111
BE_LiST23-0052,일반대학,추계예술대학교,본교,기존,사립,서울 서대문구 북아현동 190-1 추계예술대학교,서울특별시,서대문구,충현동,37.5627772025805,126.953331564253
BE_LiST23-0053,방송통신대학,한국방송통신대학교,본교,기존,국립,서울 종로구 동숭동 한국방송통신대학교,서울특별시,종로구,이화동,37.578921466689,127.00442244293
BE_LiST23-0054,일반대학,한국성서대학교,본교,기존,사립,서울 노원구 상계7동 한국성서대학교,서울특별시,노원구,상계6.7동,37.6805131833525,127.089107001845
BE_LiST23-0055,각종대학(대학),한국예술종합학교,본교,기존,특별법국립,서울 성북구 석관동 ,서울특별시,성북구,석관동,37.6129860183722,127.0614007785
BE_LiST23-0056,일반대학,한국외국어대학교,본교,기존,사립,서울 동대문구 이문로 107,서울특별시,동대문구,이문1동,37.5982966771548,127.057942413722
BE_LiST23-0057,일반대학,한국체육대학교,본교,기존,국립,서울 송파구 오륜동 한국체육대학교,서울특별시,송파구,오륜동,37.517463190805,127.13141251385
BE_LiST23-0058,기능대학,한국폴리텍 I 대학 서울강서캠퍼스,본교,기존,사립,서울 강서구 화곡동 산60-1,서울특별시,강서구,우장산동,37.5504023690235,126.843553181181
BE_LiST23-0059,기능대학,한국폴리텍Ⅰ대학 서울정수캠퍼스,본교,기존,사립,서울 용산구 보광로 73(보광동 238),서울특별시,용산구,보광동,37.5299749717494,126.996816950671
