학교종류명,설립구분,표준학교코드,학교명,영문학교명,관할조직명,도로명우편번호,도로명주소,도로명상세주소,남녀공학구분명,고등학교구분명,산업체특별학급존재여부,고등학교일반실업구분명,특수목적고등학교계열명,입시전후기구분명,주야구분명,설립일자,위도,경도
각종학교(중),사립,7134155,선화예술중학교,Sunhwa Arts Middle School,서울특별시성동광진교육지원청,4991,서울특별시 광진구 천호대로 664,/ 선화예술중고등학교 (능동),남여공학,,N,일반계,,전기,주간,19731201,37.5509798002896,127.087095159462
초등학교,공립,7134150,서울숭신초등학교,Seoul Soongshin Elementary School,서울특별시성동광진교육지원청,4702,서울특별시 성동구 마장로 161,(하왕십리동),남여공학,,N,일반계,,전기,주간,19590403,37.5676883077439,127.028005141452
중학교,공립,7134142,행당중학교,Haengdang Middle School,서울특별시성동광진교육지원청,4764,서울특별시 성동구 왕십리로 189,(행당동/행당중학교),남여공학,,N,일반계,,전기,주간,19680806,37.5545540364985,127.041963387397
중학교,사립,7134141,한양대학교사범대학부속중학교,Hanyang University Middle School,서울특별시성동광진교육지원청,4761,서울특별시 성동구 마조로 42,(사근동/한양사대부속중?고등학교),남여공학,,N,일반계,,전기,주간,19600118,37.5619188387132,127.042324044658
중학교,공립,7134140,자양중학교,Jayang Middle School,서울특별시성동광진교육지원청,5069,서울특별시 광진구 뚝섬로41길 33,(자양동/서울자양중학교),남여공학,,N,일반계,,전기,주간,19840301,37.5353984111403,127.074383180054
중학교,공립,7134139,용곡중학교,Yong-gok Middle School,서울특별시성동광진교육지원청,4940,서울특별시 광진구 용마산로22길 76,(중곡동/용곡중학교),남여공학,,N,일반계,,전기,주간,19821209,37.5657301902527,127.089281028711
중학교,공립,7134138,옥정중학교,Ok-Jung Middle School,서울특별시성동광진교육지원청,4734,서울특별시 성동구 한림말길 11,/ 옥정중학교 (옥수동),남여공학,,N,일반계,,전기,주간,19840109,37.5416703705205,127.012983234555
중학교,공립,7134137,양진중학교,Yangjin Middle School,서울특별시성동광진교육지원청,4982,서울특별시 광진구 워커힐로 32,/ 양진중학교,남여공학,,N,해당없음,,전기,주간,20051229,37.5445751665695,127.098311399741
중학교,공립,7134136,신양중학교,Shinyang Middle School,서울특별시성동광진교육지원청,5087,서울특별시 광진구 자양강변길 73,/ 신양중학교 (자양동),남여공학,,N,일반계,,전기,주간,19840109,37.5336522682692,127.063425269386
중학교,공립,7134135,성원중학교,Sungwon Middle School,서울특별시성동광진교육지원청,4775,서울특별시 성동구 성덕정9가길 13,(성수동2가/ 성원중학교),남여공학,,N,일반계,,전기,주간,19680806,37.5394518246786,127.051383529488
중학교,공립,7134134,성수중학교,Seongsu Middle School,서울특별시성동광진교육지원청,4768,서울특별시 성동구 서울숲길 18,(성수동1가/ 성수중학교),남여공학,,N,일반계,,전기,주간,19671027,37.5473418143935,127.038253431317
중학교,공립,7134132,무학중학교,Muhak Middle School,서울특별시성동광진교육지원청,4716,서울특별시 성동구 행당로 120,(행당동),남여공학,,N,일반계,,전기,주간,19681001,37.557701190017,127.031992242352
중학교,공립,7134131,마장중학교,Majang Junior High School,서울특별시성동광진교육지원청,4753,서울특별시 성동구 마장로35나길 31,/ 마장중학교 (마장동),남여공학,,N,해당없음,,전기,주간,20050301,37.5683388716972,127.041605053834
중학교,사립,7134130,대원국제중학교,Daewon International Middle School,서울특별시성동광진교육지원청,4939,서울특별시 광진구 용마산로22길 26,/ 대원국제중학교 (중곡동),남여공학,,N,일반계,,전기,주간,19770520,37.5624502219725,127.089376716312
중학교,공립,7134129,동마중학교,Dongma Middle School,서울특별시성동광진교육지원청,4759,서울특별시 성동구 마조로11길 18,(마장동),남여공학,,N,일반계,,전기,주간,19841208,37.5628025060626,127.040351173206
중학교,사립,7134128,동국대학교사범대학부속여자중학교,Girls Middle School Attached to College of Education/ Dongguk University,서울특별시성동광진교육지원청,5038,서울특별시 광진구 광나루로36길 47,/ 동국대학교사범대학부속여자중학교 (구의동),여,,N,일반계,,전기,주간,19300620,37.5419293578309,127.086973061678
중학교,공립,7134127,구의중학교,Guui Middle School,서울특별시성동광진교육지원청,5022,서울특별시 광진구 광나루로30길 80,(화양동),남여공학,,N,일반계,,전기,주간,19840430,37.5428503028479,127.078840375276
중학교,공립,7134126,광희중학교,Kwanghee Middle School,서울특별시성동광진교육지원청,4742,서울특별시 성동구 독서당로62길 46,/ 광희중학교 (응봉동),남여공학,,N,일반계,,전기,주간,19370521,37.5511545255411,127.033980048989
중학교,공립,7134125,광진중학교,Gwangjin Middle School,서울특별시성동광진교육지원청,5114,서울특별시 광진구 뚝섬로64길 45,(자양동/광진중학교),남여공학,,N,일반계,,전기,주간,19790901,37.5322195901849,127.090162126057
중학교,공립,7134124,광장중학교,Gwangjang Middle School,서울특별시성동광진교육지원청,4966,서울특별시 광진구 광장로1길 1,/ 광장중학교 (광장동),남여공학,,N,일반계,,전기,주간,19821209,37.5471775185817,127.101927589353
중학교,공립,7134123,광양중학교,Kwangyang Middle School,서울특별시성동광진교육지원청,5104,서울특별시 광진구 자양로3길 7,(자양동),남여공학,,N,일반계,,전기,주간,19860129,37.5308913414973,127.08616998675
중학교,공립,7134122,광남중학교,Gwangnam Middle School,서울특별시성동광진교육지원청,4973,서울특별시 광진구 아차산로70길 17-62,/ 광남중학교 (광장동),남여공학,,N,일반계,,전기,주간,19930116,37.5408304051926,127.101643877784
