"지역별(1)","지역별(2)","지역별(3)",상품군별(1),상품군별(2),판매유형별(1),2023.4/4,2024.1/4 p),2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
"합계","소계","소계",합계,소계,계,471927,399086,679128,1259874,2293380,3034634,3626523,6004608,6003447,4407910,1855899,1697209
"합계","소계","소계",합계,소계,면세점,280391,239885,-,-,-,2403530,2923424,5219858,5007939,3423791,1028846,944338
"합계","소계","소계",합계,소계,면세점 이외,191536,159201,-,-,-,631104,703099,784750,995508,984119,827053,752871
"합계","소계","소계",컴퓨터 및 주변기기,소계,계,3769,2729,16408,13452,14334,8907,17921,15237,19267,15875,12370,15278
"합계","소계","소계",컴퓨터 및 주변기기,소계,면세점,0,0,-,-,-,14,224,73,3610,0,0,0
"합계","소계","소계",컴퓨터 및 주변기기,소계,면세점 이외,3769,2729,-,-,-,8893,17697,15164,15657,15875,12370,15278
"합계","소계","소계",가전·전자·통신기기,소계,계,6788,6661,54843,57464,66618,75989,99226,93826,55019,51360,65833,26877
"합계","소계","소계",가전·전자·통신기기,소계,면세점,2032,2673,-,-,-,36916,70811,62763,20422,26536,49716,5884
"합계","소계","소계",가전·전자·통신기기,소계,면세점 이외,4756,3988,-,-,-,39073,28415,31063,34597,24824,16117,20993
"합계","소계","소계",가전·전자·통신기기,가전·전자,계,6316,5844,-,-,-,-,-,-,-,-,-,20978
"합계","소계","소계",가전·전자·통신기기,가전·전자,면세점,1842,2495,-,-,-,-,-,-,-,-,-,5270
"합계","소계","소계",가전·전자·통신기기,가전·전자,면세점 이외,4474,3349,-,-,-,-,-,-,-,-,-,15708
"합계","소계","소계",가전·전자·통신기기,통신기기,계,472,817,-,-,-,-,-,-,-,-,-,5899
"합계","소계","소계",가전·전자·통신기기,통신기기,면세점,190,178,-,-,-,-,-,-,-,-,-,614
"합계","소계","소계",가전·전자·통신기기,통신기기,면세점 이외,282,639,-,-,-,-,-,-,-,-,-,5285
"합계","소계","소계",소프트웨어,소계,계,238,83,1658,2316,1016,944,1344,909,1071,3404,3161,771
"합계","소계","소계",소프트웨어,소계,면세점,0,0,-,-,-,0,0,0,0,0,0,0
"합계","소계","소계",소프트웨어,소계,면세점 이외,238,83,-,-,-,944,1344,909,1071,3404,3161,771
"합계","소계","소계",서 적,소계,계,5520,2718,6171,8349,14776,21549,28351,24272,27386,32200,23082,14995
"합계","소계","소계",서 적,소계,면세점,0,0,-,-,-,0,0,0,0,0,0,0
"합계","소계","소계",서 적,소계,면세점 이외,5520,2718,-,-,-,21549,28351,24272,27386,32200,23082,14995
"합계","소계","소계",사무·문구,소계,계,3451,1639,18371,5232,5627,6236,4341,5898,5847,9416,10034,7720
"합계","소계","소계",사무·문구,소계,면세점,72,141,-,-,-,12,3,30,1,88,66,206
"합계","소계","소계",사무·문구,소계,면세점 이외,3379,1498,-,-,-,6224,4338,5868,5846,9328,9968,7514
"합계","소계","소계",음반·비디오·악기,소계,계,43294,18091,22306,25764,23774,34987,59642,89433,213843,177308,168173,181745
"합계","소계","소계",음반·비디오·악기,소계,면세점,0,0,-,-,-,0,0,0,0,0,0,0
"합계","소계","소계",음반·비디오·악기,소계,면세점 이외,43294,18091,-,-,-,34987,59642,89433,213843,177308,168173,181745
"합계","소계","소계",의류 및 패션 관련 상품,소계,계,77582,77136,174357,272243,359601,416375,528786,565840,366497,365243,275531,258501
"합계","소계","소계",의류 및 패션 관련 상품,소계,면세점,17498,21762,-,-,-,155545,227855,262957,36074,28109,11409,49685
"합계","소계","소계",의류 및 패션 관련 상품,소계,면세점 이외,60084,55374,-,-,-,260830,300931,302883,330423,337134,264122,208816
"합계","소계","소계",스포츠·레저용품,소계,계,2501,1807,10607,13225,19621,16663,15265,18573,21051,16239,11643,9815
"합계","소계","소계",스포츠·레저용품,소계,면세점,3,7,-,-,-,7,4,4,0,0,0,9
"합계","소계","소계",스포츠·레저용품,소계,면세점 이외,2498,1800,-,-,-,16656,15261,18569,21051,16239,11643,9806
"합계","소계","소계",화장품,소계,계,292494,247133,256978,716486,1637594,2308912,2710284,5020606,5108626,3539810,1122980,1043998
"합계","소계","소계",화장품,소계,면세점,255135,206966,-,-,-,2184455,2580912,4860812,4942052,3364586,962843,876055
"합계","소계","소계",화장품,소계,면세점 이외,37359,40167,-,-,-,124457,129372,159794,166574,175224,160137,167943
"합계","소계","소계",아동·유아용품,소계,계,1911,1957,10179,15875,23366,18219,19665,19109,18377,20864,12182,8231
"합계","소계","소계",아동·유아용품,소계,면세점,29,41,-,-,-,731,934,902,30,27,3,82
"합계","소계","소계",아동·유아용품,소계,면세점 이외,1882,1916,-,-,-,17488,18731,18207,18347,20837,12179,8149
"합계","소계","소계",음·식료품,소계,계,10062,12638,32809,36024,32987,31434,46052,40325,25701,27481,25372,31221
"합계","소계","소계",음·식료품,소계,면세점,5549,8233,-,-,-,24751,40668,31165,5662,4443,4804,12231
