gender,car,reality,child_num,income_total,income_type,edu_type,family_type,house_type,DAYS_BIRTH,DAYS_EMPLOYED,occyp_type,family_size,begin_month,credit,credit_card_count,before_EMPLOYED_year,Age,DAYS_BIRTH_month,EMPLOYED,begin_year,cluster
F,N,Y,1,247500.0,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,11380,1540,Laborers,3.0,5.0,1.0,9,26,31,7.0,4,0.0,0
M,Y,Y,0,450000.0,Working,Higher education,Married,House / apartment,19087,4434,Managers,2.0,22.0,2.0,6,40,52,0.0,12,1.0,1
F,N,Y,0,202500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,15088,2092,Sales staff,2.0,37.0,1.0,2,35,41,10.0,5,3.0,2
F,Y,Y,0,157500.0,State servant,Higher education,Married,House / apartment,15037,2105,Managers,2.0,26.0,2.0,1,35,41,9.0,5,2.0,2
F,N,Y,2,270000.0,Working,Secondary / secondary special,Married,House / apartment,13413,4996,High skill tech staff,4.0,18.0,1.0,1,23,36,3.0,13,1.0,0
F,N,N,0,315000.0,Working,Secondary / secondary special,Separated,House / apartment,17570,1978,Core staff,1.0,41.0,2.0,5,42,48,9.0,5,3.0,1
M,N,Y,0,270000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,14896,5420,Drivers,2.0,53.0,1.0,2,25,40,4.0,14,4.0,3
F,N,Y,0,103500.0,Working,Secondary / secondary special,Married,House / apartment,15785,1308,Medicine staff,2.0,5.0,2.0,6,39,43,10.0,3,0.0,2
F,N,Y,0,193500.0,Working,Secondary / secondary special,Separated,House / apartment,19063,2213,Laborers,1.0,40.0,2.0,4,46,52,11.0,6,3.0,1
M,Y,Y,1,135000.0,Commercial associate,Higher education,Married,House / apartment,11759,91,Managers,3.0,51.0,2.0,6,31,32,7.0,0,4.0,0
F,Y,Y,1,157500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,11938,2162,Accountants,3.0,60.0,1.0,5,26,32,1.0,5,5.0,0
F,N,N,0,135000.0,Working,Higher education,Married,House / apartment,9887,2474,Sales staff,2.0,41.0,2.0,4,20,27,5.0,6,3.0,0
M,Y,Y,2,157500.0,Working,Secondary / secondary special,Married,With parents,12859,4056,Drivers,4.0,60.0,1.0,4,24,35,8.0,11,5.0,0
M,N,Y,0,180000.0,Working,Secondary / secondary special,Married,House / apartment,19408,4553,Laborers,2.0,2.0,1.0,6,40,53,10.0,12,0.0,1
M,N,N,0,270000.0,Commercial associate,Secondary / secondary special,Civil marriage,With parents,8853,984,Sales staff,2.0,14.0,2.0,5,21,24,7.0,2,1.0,0
F,N,N,0,157500.0,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,15198,1357,Laborers,2.0,22.0,1.0,1,37,41,2.0,3,1.0,2
F,N,Y,1,225000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,14058,3694,Realty agents,3.0,4.0,2.0,6,28,38,0.0,10,0.0,2
M,Y,N,1,135000.0,Working,Higher education,Married,House / apartment,17843,3353,Laborers,3.0,13.0,2.0,5,39,48,6.0,9,1.0,1
M,Y,N,0,112500.0,Commercial associate,Secondary / secondary special,Married,With parents,22111,2325,Drivers,2.0,47.0,2.0,1,54,60,5.0,6,3.0,1
F,N,Y,0,121500.0,Commercial associate,Secondary / secondary special,Married,Co-op apartment,12017,1711,Sales staff,2.0,22.0,1.0,5,28,32,4.0,4,1.0,0
M,Y,N,0,225000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,13188,227,Managers,2.0,33.0,2.0,5,35,36,7.0,0,2.0,2
M,Y,Y,0,135000.0,Commercial associate,Higher education,Married,House / apartment,11762,3452,Laborers,2.0,18.0,1.0,2,22,32,8.0,9,1.0,0
F,N,Y,0,135000.0,Working,Higher education,Married,House / apartment,13299,1628,Laborers,2.0,2.0,1.0,10,31,36,11.0,4,0.0,2
M,N,Y,0,202500.0,Working,Secondary / secondary special,Married,House / apartment,19200,346,High skill tech staff,2.0,30.0,2.0,3,51,52,4.0,0,2.0,1
M,Y,Y,1,270000.0,Working,Secondary / secondary special,Married,House / apartment,14488,1630,Laborers,3.0,22.0,1.0,6,35,39,2.0,4,1.0,2
F,Y,N,0,225000.0,Working,Higher education,Civil marriage,House / apartment,14438,2433,Managers,2.0,20.0,2.0,9,32,39,1.0,6,1.0,2
F,Y,N,0,225000.0,Working,Higher education,Single / not married,House / apartment,20200,1022,Accountants,1.0,14.0,2.0,3,52,55,1.0,2,1.0,1
M,Y,Y,0,585000.0,Commercial associate,Secondary / secondary special,Married,With parents,16653,1646,Drivers,2.0,8.0,2.0,7,41,45,3.0,4,0.0,2
F,N,Y,0,202500.0,Working,Secondary / secondary special,Married,House / apartment,13582,3472,Sales staff,2.0,41.0,2.0,1,27,37,8.0,9,3.0,0
M,Y,Y,2,112500.0,Working,Secondary / secondary special,Married,House / apartment,13022,1600,Laborers,4.0,39.0,2.0,5,31,35,2.0,4,3.0,2
M,Y,Y,0,90900.0,Working,Secondary / secondary special,Married,House / apartment,21700,2426,Laborers,2.0,21.0,1.0,3,52,59,3.0,6,1.0,1
