어린이집명,운영현황,주소,행정동,위도,경도
청정원 마곡 어린이집,정상,서울특별시 강서구 초원로16길 12,방화1동,37.56690483,126.8150094
등촌제일어린이집,정상,서울특별시 강서구 공항대로53가길 50 1층,등촌1동,37.55553101,126.8590695
홈앤쇼핑 어린이집,정상,서울특별시 강서구 공항대로 150 홈앤쇼핑 3층,발산1동,37.55946637,126.8244375
DYPNF 직장어린이집,정상,서울특별시 강서구 마곡중앙8로7길 39 2층,가양1동,37.56440414,126.8389413
근로복지공단 곰달래어린이집,정상,서울특별시 강서구 곰달래로53길 30-20,화곡4동,37.53364934,126.8601914
성민가정어린이집,정상,서울특별시 강서구 화곡로68길 115 101동 111호,등촌1동,37.55732857,126.860338
근로복지공단 등촌어린이집,정상,서울특별시 강서구 강서로56나길 128,등촌3동,37.5646057,126.843839
구립 라온어린이집,정상,서울특별시 강서구 곰달래로53길 112,화곡4동,37.53604433,126.8565449
구립 우장숲어린이집,정상,서울특별시 강서구 화곡로41길 19,우장산동,37.54644898,126.8439696
마곡9 나인어린이집,정상,서울특별시 강서구 공항대로 103 엠밸리9단지 관리동,공항동,37.5622651,126.8191654
구립 염창별하어린이집,정상,서울특별시 강서구 공항대로 543,염창동,37.55073885,126.8664123
구립 이든아이어린이집,정상,서울특별시 강서구 까치산로18나길 22-1,화곡본동,37.54635171,126.8491295
구립대우주어린이집,정상,서울특별시 강서구 화곡로13길 107 135동 101호,화곡3동,37.54724497,126.8322439
두빛나래터발도르프어린이집,정상,서울특별시 강서구 등촌로39마길 52,등촌2동,37.5464671,126.8574432
구립 신태양어린이집,정상,서울특별시 강서구 곰달래로31다길 25,화곡2동,37.53364015,126.8526325
구립 해담어린이집,정상,서울특별시 강서구 금낭화로11길 36,방화2동,37.5700451,126.8103227
구립 새하늘어린이집,정상,서울특별시 강서구 강서로17다길 15-14,화곡1동,37.53330739,126.8414155
LG이노텍 서울어린이집,정상,서울특별시 강서구 마곡중앙10로 30 E3,가양1동,37.56340309,126.8312303
구립 엠밸리큰나무어린이집,정상,서울특별시 강서구 마곡중앙8로1길 10,가양1동,37.56186182,126.8360761
구립 아이나무어린이집,정상,서울특별시 강서구 화곡로13가길 5,화곡3동,37.541402,126.8335789
구립 하늘마음어린이집,정상,서울특별시 강서구 초록마을로 106,화곡본동,37.53900642,126.8514129
이화의료원어린이집,정상,서울특별시 강서구 공항대로 260 B관 4층,발산1동,37.55726286,126.8362668
N젤어린이집,정상,서울특별시 강서구 마곡중앙로 177,가양1동,37.5700164,126.8274983
구립 아이편한어린이집,정상,서울특별시 강서구 공항대로 583 염창동,염창동,37.54859226,126.8702426
아장닷컴어린이집,정상,서울특별시 강서구 화곡로42나길 30-17,화곡본동,37.54739239,126.8478157
구립 청솔어린이집,정상,서울특별시 강서구 강서로47마길 71 107호,발산1동,37.55013325,126.8326532
구립 가온어린이집,정상,서울특별시 강서구 양천로 590 102동 102호,등촌1동,37.55579173,126.8644319
구립 강변어린이집,정상,서울특별시 강서구 허준로 139,가양2동,37.56461212,126.8562786
구립 뜰아래어린이집,정상,서울특별시 강서구 양천로67가길 49 201동 105호,염창동,37.55407805,126.8704591
구립 해뜰어린이집,정상,서울특별시 강서구 강서로68길 36 등촌주공2단지아파트 근로복지관2층,등촌3동,37.56538683,126.8422565
구립 샛별어린이집,정상,서울특별시 강서구 초록마을로 166,화곡8동,37.53620546,126.8462554
구립 한빛어린이집,정상,서울특별시 강서구 강서로8길 134,화곡2동,37.53041462,126.8555186
구립 피노키오어린이집,정상,서울특별시 강서구 강서로12길 73,화곡8동,37.53227349,126.8511
구립 푸른솔어린이집,정상,서울특별시 강서구 화곡로13길 107 104동 104호(화곡동,화곡3동,37.54724497,126.8322439
구립 엔젤아이어린이집,정상,서울특별시 강서구 양천로 507 106동 104호,가양3동,37.5603957,126.8573626
구립 진로어린이집,정상,서울특별시 강서구 공항대로 351-21 102동 102호,등촌3동,37.56059931,126.8476189
도담어린이집,정상,"서울특별시 강서구 마곡서1로 100 (마곡동, 마곡엠밸리6단지)",방화1동,37.5657541,126.8196234
근로복지공단 강서어린이집,정상,서울특별시 강서구 강서로33가길 42,화곡3동,37.54356651,126.8378838
강서햇빛발도르프어린이집,정상,서울특별시 강서구 까치산로18길 35 강서햇빛발도르프어린이집,화곡6동,37.54674257,126.8508392
롯데중앙연구소 mom편한 어린이집,정상,서울특별시 강서구 마곡중앙로 201,가양1동,37.57140769,126.8277308
마곡어린이집,정상,서울특별시 강서구 마곡중앙1로 71 1308동 102호(마곡동,공항동,37.55690832,126.8178746
구립 하나로어린이집,정상,서울특별시 강서구 양천로73길 5 101동 105호,염창동,37.55189482,126.8715134
구립 한숲어린이집,정상,서울특별시 강서구 방화대로50길 7 101동 102호(방화동 한숲마을대림아파트),방화3동,37.57681212,126.8174741
구립 모아어린이집,정상,서울특별시 강서구 방화대로45길 78 101동 103호(방화동,방화1동,37.57461246,126.8120388
마곡1 고운비어린이집,정상,서울특별시 강서구 마곡서1로 131 101동 115호(마곡동,방화1동,37.56847265,126.8183172
디앤오 강서어린이집,정상,서울특별시 강서구 마곡중앙로 150 2층,가양1동,37.56699442,126.8285205
사이언스파크어린이집,정상,서울특별시 강서구 마곡중앙10로 30,가양1동,37.56340309,126.8312303
